,year,org_id,loan_amt,entity_structure,total_proj_cost,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt
355,2013,457,86000.0,FORPROFIT,86000.0,ERS,,,cattle farm,NONRETAIL,,,-73.13389000000001,42.557390000000005,594 Windsor Road,,Cheshire,MA,1225.0,,25003923100.0,"594 Windsor Road,Cheshire,MA,1225","594, Windsor Road, Martin, Arnoldville, Cheshire, Berkshire County, Massachusetts, 01225, United States of America","(42.557221150000004, -73.13336409665663, 0.0)",42.557221150000004,-73.13336409665663,0.0
361,2013,2128,1500000.0,FORPROFIT,18900000.0,TRF,,,Healthy Food Hub,RETAIL,,,-90.08576,29.967209999999998,300 N BROAD ST,,NEW ORLEANS,LA,70119.0,,22071004900.0,"300 N BROAD ST,NEW ORLEANS,LA,70119","Whole Foods Market, 300, North Broad Street, Faubourg St. John, New Orleans, Orleans Parish, Louisiana, 70119, United States of America","(29.96718, -90.0844933, 0.0)",29.96718,-90.0844933,0.0
379,2013,151,100000.0,FORPROFIT,1718000.0,ERS,,,Natural food coop,RETAIL,,,-147.7174,64.83724000000001,526 Gaffney Road,,Fairbanks,AK,99701.0,,2090000100.0,"526 Gaffney Road,Fairbanks,AK,99701","526, Gaffney Road, South Fairbanks, Fairbanks, Fairbanks North Star, Alaska, 99701, United States of America","(64.83710202145308, -147.71643215408838, 0.0)",64.83710202145308,-147.71643215408838,0.0
380,2013,151,100000.0,FORPROFIT,1718000.0,ERS,,,Natural food coop,RETAIL,,,-147.7174,64.83724000000001,526 Gaffney Road,,Fairbanks,AK,99701.0,,2090000100.0,"526 Gaffney Road,Fairbanks,AK,99701","526, Gaffney Road, South Fairbanks, Fairbanks, Fairbanks North Star, Alaska, 99701, United States of America","(64.83710202145308, -147.71643215408838, 0.0)",64.83710202145308,-147.71643215408838,0.0
382,2013,110,175000.0,,,ERS,,,"Refinanced River Valley Market, a retail food co-op in a census tract adjacent to a food desert trac",RETAIL,,,,,13 Broad St.,,New London,CT,6320.0,,9011690500.0,"13 Broad St.,New London,CT,6320","Fiddleheads Food Cooperative, 13, Broad Street, Williams Memorial Park Historic District, Downtown New London, New London, New London County, Connecticut, 06320, United States of America","(41.355899, -72.0997518, 0.0)",41.355899,-72.0997518,0.0
383,2013,110,1250000.0,,11900000.0,TRF,,,Construction of a new Food Co-op Retail outlet in a food desert tract.,RETAIL,,,,,100 Watervliet Ave,,Albany,NY,12206.0,,36001000300.0,"100 Watervliet Ave,Albany,NY,12206","Honest Weight Food Co-op, 100, Watervliet Avenue, Beverwyck, West Albany, Albany, Albany County, New York, 12206, United States of America","(42.678649199999995, -73.78152309856046, 0.0)",42.678649199999995,-73.78152309856046,0.0
385,2013,110,950651.5,,950651.5,TRF,,,New food desert retail food co-op. Address is new and not in TRF but is LSA (250251101005).,RETAIL,,,,,3815 Washington Street,,Jamaica Plain,MA,2130.0,,25025110103.0,"3815 Washington Street,Jamaica Plain,MA,2130","3815, Washington Street, Roslindale, Jamaica Plain, Boston, Suffolk County, Massachusetts, 02131, United States of America","(42.29784464013398, -71.11625894878475, 0.0)",42.29784464013398,-71.11625894878475,0.0
386,2013,110,200000.0,,200000.0,ERS,,,"Financed the reset of the Good Tern Food Co-op, in a census tract adjacent to a food desert.",RETAIL,,,,,750 Main Street,,Rockland,ME,4841.0,,,"750 Main Street,Rockland,ME,4841","750, Main Street, Blackinton Corners, Rockland, Knox County, Maine, 04841, United States of America","(44.1121433, -69.1067194, 0.0)",44.1121433,-69.1067194,0.0
387,2013,110,250000.0,,10000000.0,ERS,,,"Financed the expansion of Brattleboro Food Co-op, in a census tract adjacent to a food desert.",RETAIL,,,,,2 Main Street,,Brattleboro,VT,5301.0,,50025968500.0,"2 Main Street,Brattleboro,VT,5301","Brattleboro Food Co-Op, 2, Main Street, Fairview Village, Brattleboro, Windham County, Vermont, 05301, United States of America","(42.8504406, -72.55821457219098, 0.0)",42.8504406,-72.55821457219098,0.0
388,2012,828,1800000.0,NONPROFIT,7817000.0,OTHER,"City of Chicago, DHED: http://llnw.wbez.org/sites/default/files/Final%20Food%20Desert%20Map.pdf",,Fresh produce market and 4 dining venues; emphasis on healthy food and health and wellness education,RETAIL,,,,,300 E. 51st Street,,Chicago,IL,60615.0,,17031381800.0,"300 E. 51st Street,Chicago,IL,60615","Urban Juncture, 300, East 51st Street, Washington Park, Chicago, Cook County, Illinois, 60615, United States of America","(41.802224, -87.6191002, 0.0)",41.802224,-87.6191002,0.0
389,2012,828,75000.0,NONPROFIT,112587.0,OTHER,"Located in census tract adjacent to USDA low-income, low-access tract",,"Healthy food restaurant, with emphasis on",RETAIL,,,,,3506 W. Chicago Ave,,Chicago,IL,60651.0,,17031231100.0,"3506 W. Chicago Ave,Chicago,IL,60651","Oooh Wee! Sweet Tea, 3506, West Chicago Avenue, Pacific Junction, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States of America","(41.8956915, -87.7143237, 0.0)",41.8956915,-87.7143237,0.0
412,2013,823,1700000.0,,8482000.0,ERS,,,"Multi-tenant retail center with 17,678 sf SAL grocery and 23,032 sf Blast Fitness.",RETAIL,,,,,1549 S Jefferson Ave,,St. Louis,MO,63104.0,,29510123100.0,"1549 S Jefferson Ave,St. Louis,MO,63104","1549, South Jefferson Avenue, Lafayette Square, St. Louis, City of Saint Louis, Missouri, 63104, United States of America","(38.61724986033476, -90.22067150438076, 0.0)",38.61724986033476,-90.22067150438076,0.0
414,2013,823,712121.0,,2312121.0,ERS,,,Full service grocery store in commercial real estate space,RETAIL,,,,,801 University Ave,,Des Moines,IA,50314.0,,,"801 University Ave,Des Moines,IA,50314","801, University Avenue, Downtown, Des Moines, Polk County, Iowa, 50314, United States of America","(41.60088261744966, -93.62892197315436, 0.0)",41.60088261744966,-93.62892197315436,0.0
